-4	-4	-0.00879547
-4	-3.6	-0.00162891
-4	-3.2	0.00504121
-4	-2.8	0.0109336
-4	-2.4	0.0158101
-4	-2	0.0195321
-4	-1.6	0.0219689
-4	-1.2	0.0228575
-4	-0.8	0.0220266
-4	-0.4	0.0197518
-4	0	0.0167426
-4	0.4	0.0137839
-4	0.8	0.0113283
-4	1.2	0.00934902
-4	1.6	0.00749992
-4	2	0.00535419
-4	2.4	0.00257315
-4	2.8	-0.000944535
-4	3.2	-0.00512705
-4	3.6	-0.00987006

-3.6	-4	-0.00135916
-3.6	-3.6	0.00706623
-3.6	-3.2	0.0150783
-3.6	-2.8	0.0222532
-3.6	-2.4	0.0281983
-3.6	-2	0.0327954
-3.6	-1.6	0.0360676
-3.6	-1.2	0.0373526
-3.6	-0.8	0.0359504
-3.6	-0.4	0.0322355
-3.6	0	0.0275426
-3.6	0.4	0.0233741
-3.6	0.8	0.0204785
-3.6	1.2	0.0185979
-3.6	1.6	0.0169961
-3.6	2	0.0149859
-3.6	2.4	0.0119758
-3.6	2.8	0.00795612
-3.6	3.2	0.00317261
-3.6	3.6	-0.00221715

-3.2	-4	0.00594033
-3.2	-3.6	0.0159692
-3.2	-3.2	0.025826
-3.2	-2.8	0.0348942
-3.2	-2.4	0.0424131
-3.2	-2	0.0480672
-3.2	-1.6	0.0530312
-3.2	-1.2	0.0554582
-3.2	-0.8	0.053231
-3.2	-0.4	0.0470321
-3.2	0	0.0393959
-3.2	0.4	0.033358
-3.2	0.8	0.0301617
-3.2	1.2	0.0287618
-3.2	1.6	0.0275841
-3.2	2	0.0256454
-3.2	2.4	0.0222283
-3.2	2.8	0.0175156
-3.2	3.2	0.0119218
-3.2	3.6	0.00569037

-2.8	-4	0.0127856
-2.8	-3.6	0.0247888
-2.8	-3.2	0.0371541
-2.8	-2.8	0.0491521
-2.8	-2.4	0.0596173
-2.8	-2	0.0669727
-2.8	-1.6	0.0752784
-2.8	-1.2	0.0794907
-2.8	-0.8	0.0759301
-2.8	-0.4	0.0655382
-2.8	0	0.0525386
-2.8	0.4	0.0435919
-2.8	0.8	0.0408815
