2148.654725 686.118111 
1374.941316 114.411524 
308.882020 105.279611 
215.219916 153.649405 
566.683648 161.900075 
211.247683 189.145236 
242.883956 164.565493 
342.277236 153.693776 
197.283177 154.223603 
206.644813 177.553526 
197.265856 167.168778 
208.090355 182.617405 
254.252166 223.938270 
250.688124 223.654729 
240.808794 217.236156 
226.170373 206.703548 
251.708028 229.643432 
596.622818 531.293163 
335.171988 313.352950 
683.675979 393.641608 
411.903777 367.385539 
554.165565 442.303720 
419.978825 393.704766 
388.831048 367.649349 
409.426591 369.504527 
388.725664 367.893534 
428.450771 433.987601 
431.741299 411.906813 
436.163754 415.398141 
430.204493 410.514401 
460.021807 410.574461 
437.816444 416.641246 
458.067977 351.178905 
395.635758 319.929226 
380.517907 283.184661 
266.515818 207.914961 
220.284096 198.580632 
214.718201 195.274126 
202.024437 177.884042 
190.575951 174.936216 
155.307630 112.203874 
135.719532 121.125334 
125.153462 111.585888 
115.727673 100.476737 
102.058495 84.397886 
87.127857 76.028501 
86.990946 80.101145 
82.635769 71.399828 
80.463029 72.685944 
75.656812 60.408421 
65.255381 62.268760 
84.876148 78.990580 
106.435385 99.645015 
102.141492 92.955271 
162.670639 132.381343 
138.088653 114.643347 
94.293949 84.167207 
105.118347 60.701841 
61.185210 44.595677 
59.690215 55.566423 
77.570110 72.151401 
172.038216 54.418482 
58.390911 55.393069 
84.315631 79.755268 
612.183645 115.413970 
66.637833 64.234350 
122.114621 42.122353 
88.990060 73.393070 
84.667740 80.383452 
90.302043 66.429687 
92.987158 81.330848 
63.461009 55.445677 
55.716693 31.062349 
38.692909 30.786337 
25.010806 22.441834 
27.993069 25.431628 
29.509516 27.828874 
56.981463 48.111193 
47.590232 33.315896 
31.200340 27.086547 
21.449550 20.802222 
21.282771 20.602284 
14.867363 13.312596 
17.256683 16.629474 
24.167434 12.556391 
28.871498 17.748151 
914.431770 121.219363 
151.960791 22.186473 
38.657745 16.055622 
11.230448 4.358665 
11.663773 8.532827 
18.432805 12.681484 
8.461759 7.389219 
9.230871 7.883723 
7.855211 3.624724 
6.656753 5.036989 
4.467491 2.760874 
3.690758 3.320170 
3.444997 2.001551 
3.153638 2.545113 
2.681725 2.456061 
