x

    20    20    20    20    20    20    20    20    20    20    20    20    20    20    20    20    20    20    20    20    20
    52    52    52    52    52    52    52    52    52    52    52    52    52    52    52    52    52    52    52    52    52
    77    77    77    77    77    77    77    77    77    77    77    77    77    77    77    77    77    77    77    77    77
   109   109   109   109   109   109   109   109   109   109   109   109   109   109   109   109   109   109   109   109   109

    20    20    20    20    20    20    20    20    20    20    20    20    20    20    20    20    20    20    20    20    20
    52    52    52    52    52    52    52    52    52    52    52    52    52    52    52    52    52    52    52    52    52
    77    77    77    77    77    77    77    77    77    77    77    77    77    77    77    77    77    77    77    77    77
   109   109   109   109   109   109   109   109   109   109   109   109   109   109   109   109   109   109   109   109   109

    20    20    20    20    20    20    20    20    20    20    20    20    20    20    20    20    20    20    20    20    20
    52    52    52    52    52    52    52    52    52    52    52    52    52    52    52    52    52    52    52    52    52
    77    77    77    77    77    77    77    77    77    77    77    77    77    77    77    77    77    77    77    77    77
   109   109   109   109   109   109   109   109   109   109   109   109   109   109   109   109   109   109   109   109   109

    20    20    20    20    20    20    20    20    20    20    20    20    20    20    20    20    20    20    20    20    20
    52    52    52    52    52    52    52    52    52    52    52    52    52    52    52    52    52    52    52    52    52
    77    77    77    77    77    77    77    77    77    77    77    77    77    77    77    77    77    77    77    77    77
   109   109   109   109   109   109   109   109   109   109   109   109   109   109   109   109   109   109   109   109   109

    20    20    20
    52    52    52
    77    77    77
   109   109   109

y

     1     6    11    16    21    26    31    36    41    46    51    56    61    66    71    76    81    86    91    96   101
     1     6    11    16    21    26    31    36    41    46    51    56    61    66    71    76    81    86    91    96   101
     1     6    11    16    21    26    31    36    41    46    51    56    61    66    71    76    81    86    91    96   101
     1     6    11    16    21    26    31    36    41    46    51    56    61    66    71    76    81    86    91    96   101

   106   111   116   121   126   131   136   141   146   151   156   161   166   171   176   181   186   191   196   201   206
   106   111   116   121   126   131   136   141   146   151   156   161   166   171   176   181   186   191   196   201   206
   106   111   116   121   126   131   136   141   146   151   156   161   166   171   176   181   186   191   196   201   206
   106   111   116   121   126   131   136   141   146   151   156   161   166   171   176   181   186   191   196   201   206

   211   216   221   226   231   236   241   246   251   256   261   266   271   276   281   286   291   296   301   306   311
   211   216   221   226   231   236   241   246   251   256   261   266   271   276   281   286   291   296   301   306   311
   211   216   221   226   231   236   241   246   251   256   261   266   271   276   281   286   291   296   301   306   311
   211   216   221   226   231   236   241   246   251   256   261   266   271   276   281   286   291   296   301   306   311

   316   321   326   331   336   341   346   351   356   361   366   371   376   381   386   391   396   401   406   411   416
   316   321   326   331   336   341   346   351   356   361   366   371   376   381   386   391   396   401   406   411   416
   316   321   326   331   336   341   346   351   356   361   366   371   376   381   386   391   396   401   406   411   416
   316   321   326   331   336   341   346   351   356   361   366   371   376   381   386   391   396   401   406   411   416

   421   426   431
   421   426   431
   421   426   431
   421   426   431

z

    0.0001    0.0001    0.0000    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000   0.0000    0.0000    0.0001    0.0001    0.0002    0.0013    0.0095    0.0265 
    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000   0.0000    0.0000    0.0000    0.0001    0.0001    0.0003    0.0014    0.0046
    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000   0.0000    0.0000    0.0000    0.0001    0.0001    0.0004    0.0015    0.0060 
    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000   0.0000    0.0000    0.0000    0.0001    0.0002    0.0006    0.0014    0.0046

    0.0401    0.0394    0.0339    0.0337    0.0342    0.0333    0.0327    0.0327    0.0338    0.0343    0.0335    0.0299    0.0210    0.0110    0.0041    0.0014    0.0005    0.0006    0.0011    0.0055    0.0151
    0.0113    0.0210    0.0300    0.0307    0.0182    0.0061    0.0029    0.0041    0.0142    0.0277    0.0270    0.0137    0.0033    0.0011    0.0007    0.0004    0.0001    0.0011    0.0019    0.0020    0.0025
    0.0130    0.0185    0.0202    0.0202    0.0144    0.0084    0.0079    0.0099    0.0164    0.0228    0.0206    0.0120    0.0051    0.0020    0.0017    0.0009    0.0002    0.0011    0.0021    0.0021    0.0019
    0.0095    0.0126    0.0128    0.0114    0.0075    0.0046    0.0038    0.0035    0.0050    0.0072    0.0076    0.0066    0.0055    0.0073    0.0095    0.0055    0.0009    0.0021    0.0044    0.0043    0.0026

    0.0242    0.0277    0.0284    0.0269    0.0256    0.0238    0.0196    0.0131    0.0068    0.0035    0.0027    0.0035    0.0080    0.0135    0.0161    0.0171    0.0179    0.0194    0.0209    0.0212    0.0209
    0.0033    0.0030    0.0028    0.0038    0.0101    0.0179    0.0185    0.0118    0.0052    0.0035    0.0029    0.0014    0.0005    0.0008    0.0011    0.0013    0.0016    0.0028    0.0037    0.0035    0.0033
    0.0025    0.0024    0.0025    0.0034    0.0062    0.0084    0.0068    0.0045    0.0027    0.0022    0.0016    0.0012    0.0013    0.0018    0.0022    0.0025    0.0026    0.0036    0.0050    0.0059    0.0060
    0.0020    0.0015    0.0015    0.0016    0.0023    0.0023    0.0014    0.0009    0.0011    0.0013    0.0010    0.0008    0.0008    0.0011    0.0013    0.0012    0.0012    0.0025    0.0042    0.0048    0.0043

    0.0213    0.0228    0.0225    0.0190    0.0152    0.0110    0.0053    0.0018    0.0005    0.0003    0.0002    0.0002    0.0003    0.0003    0.0004    0.0004    0.0003    0.0002    0.0001    0.0001    0.0001
    0.0029    0.0026    0.0023    0.0021    0.0015    0.0007    0.0005    0.0004    0.0002    0.0003    0.0003    0.0003    0.0003    0.0002    0.0002    0.0002    0.0002    0.0002    0.0001    0.0001    0.0001
    0.0050    0.0031    0.0022    0.0027    0.0022    0.0012    0.0006    0.0004    0.0005    0.0005    0.0004    0.0004    0.0003    0.0002    0.0002    0.0001    0.0001    0.0001    0.0001    0.0000    0.0000
    0.0035    0.0028    0.0024    0.0026    0.0022    0.0013    0.0011    0.0018    0.0027    0.0029    0.0027    0.0021    0.0013    0.0005    0.0002    0.0001    0.0001    0.0000    0.0000    0.0000    0.0000

    0.0001    0.0001    0.0000
    0.0001    0.0000    0.0000
    0.0000    0.0000    0.0000
    0.0000    0.0000    0.0000
